Count,Deleted_Word,Filename
1,do,c-rea1-f3_hyp.trn.dtl
1,evening,c-rea1-f3_hyp.trn.dtl
1,girls,c-rea1-f3_hyp.trn.dtl
1,had,c-rea1-f3_hyp.trn.dtl
1,he,c-rea1-f3_hyp.trn.dtl
1,honour,c-rea1-f3_hyp.trn.dtl
1,in,c-rea1-f3_hyp.trn.dtl
1,jewels,c-rea1-f3_hyp.trn.dtl
1,lazy,c-rea1-f3_hyp.trn.dtl
1,my,c-rea1-f3_hyp.trn.dtl
1,of,c-rea1-f3_hyp.trn.dtl
1,poor,c-rea1-f3_hyp.trn.dtl
1,rosa,c-rea1-f3_hyp.trn.dtl
1,she,c-rea1-f3_hyp.trn.dtl
1,spent,c-rea1-f3_hyp.trn.dtl
1,that,c-rea1-f3_hyp.trn.dtl
1,the,c-rea1-f3_hyp.trn.dtl
1,to,c-rea1-f3_hyp.trn.dtl
1,were,c-rea1-f3_hyp.trn.dtl
1,william,c-rea1-f3_hyp.trn.dtl
1,yelled,c-rea1-f3_hyp.trn.dtl
5,they,c-rea1-f4_hyp.trn.dtl
2,a,c-rea1-f4_hyp.trn.dtl
2,and,c-rea1-f4_hyp.trn.dtl
2,ball,c-rea1-f4_hyp.trn.dtl
2,the,c-rea1-f4_hyp.trn.dtl
2,to,c-rea1-f4_hyp.trn.dtl
1,announce,c-rea1-f4_hyp.trn.dtl
1,at,c-rea1-f4_hyp.trn.dtl
1,buying,c-rea1-f4_hyp.trn.dtl
1,came,c-rea1-f4_hyp.trn.dtl
1,cinders,c-rea1-f4_hyp.trn.dtl
1,day,c-rea1-f4_hyp.trn.dtl
1,dreamed,c-rea1-f4_hyp.trn.dtl
1,had,c-rea1-f4_hyp.trn.dtl
1,hairbrushes,c-rea1-f4_hyp.trn.dtl
1,hairpins,c-rea1-f4_hyp.trn.dtl
1,her,c-rea1-f4_hyp.trn.dtl
1,howled,c-rea1-f4_hyp.trn.dtl
1,lily,c-rea1-f4_hyp.trn.dtl
1,messenger,c-rea1-f4_hyp.trn.dtl
